ID,StreetNum,StrName,Area,Rooms,FullBath,HalfBath,Floors,Zip,SoldPrice,ListPrice,MT,BedRoomsBsmt,BedRooms,GarageSpaces,ClosedDate,GarageType,BsmtBath,AbvGrdSF,BsmntSF,Style,LotDims,LotSize,,,,,,,
66,176,Huber,11,10,2,1,2,60000,520000,550000,67,0,4,2,12/14/2018,Attached,No,0,,Colonial,74.5' X 135.15',10068.675,,,,,,,
67,177,Locust,11,5,2,0,1,60000,227000,227000,67,0,2,0,12/15/2018,None,No,0,,Bungalow,60 X 167,10020,,,,,,,
68,178,Indian,11,13,5,0,2,60000,1090000,1199000,69,0,5,2,12/16/2018,Attached,Yes,0,,Colonial,80X132,10560,,,,,,,
69,179,Juniper,11,12,6,1,2,60000,1400000,1449000,76,1,4,3,12/17/2018,Attached,Yes,4078,,Other,80X135,10800,,,,,,,
70,180,Warren,11,8,2,0,1.5,60000,310000,324000,76,0,3,2.5,12/18/2018,Detached,Yes,0,,Bi-Level,142 X 73,10366,,,,,,,
71,181,Linneman,11,8,1,0,1.5,60000,360000,385000,76,0,3,2.5,12/19/2018,Detached,No,0,,Other,49X182,8918,,,,,,,
72,182,Stacy,11,11,5,1,3,60000,380000,399000,76,0,7,2.5,12/20/2018,Detached,No,0,,Traditional,65' X 117',7605,,,,,,,
73,183,Fielding,11,12,3,1,2,60000,835000,875000,77,1,3,2,12/21/2018,Attached,Yes,0,,Colonial,68X132,8976,,,,,,,
74,184,Karen,11,8,2,1,2,60000,353000,415000,78,0,3,2,12/22/2018,Attached,No,0,,Colonial,36X106X142X161,3816,,,,,,,
75,185,Wilmette,11,8,2,1,3,60000,525000,575000,78,0,4,2,12/23/2018,Attached,No,0,,Colonial,71X124,8804,,,,,,,
76,186,Sequoia,11,9,2,1,2,60000,650000,688000,80,0,4,2,12/24/2018,Attached,No,0,,Colonial,79X165X69X145,13035,,,,,,,
77,187,Lake,11,8,2,1,2,60000,585000,619000,81,0,3,2,12/25/2018,Detached,No,2251,,Traditional,3422 SQ FT,3422,,,,,,,
78,188,ELM,11,10,3,1,2,60000,1215000,1349000,83,0,4,2,12/26/2018,Detached,No,0,,Cape Cod,"17,015","17,015",,,,,,,
79,189,Glendale,11,11,5,0,2,60000,970000,999000,87,1,5,2,12/27/2018,Attached,Yes,0,,Other,76X145,11020,,,,,,,
80,190,Lindenwood,11,8,2,1,1.5,60000,445000,460000,87,0,4,2.5,12/28/2018,Attached,Yes,0,,Tri-Level,101X105,10605,,,,,,,
81,191,Stratford,11,14,4,0,2,60000,810000,832000,91,1,5,2,12/29/2018,Attached,Yes,0,,Colonial,76X154X79X136,11704,,,,,,,
82,192,Crescent,11,8,2,0,1.5,60000,415000,419900,95,0,4,2,12/30/2018,Detached,No,0,,Other,75X134,10050,,,,,,,
83,193,LAKE,11,8,2,2,2,60000,420000,449000,96,1,3,2,12/31/2018,Attached,Yes,0,,Cape Cod,66 X277,18282,,,,,,,
84,194,Hollywood,11,8,3,0,1,60000,478000,499500,99,1,3,2,1/1/2019,Attached,Yes,0,,Other,71X123,8733,,,,,,,
85,195,Maynard,11,8,2,1,2,60000,470000,499000,100,0,4,2,1/2/2019,Attached,No,0,,Colonial,8722 SQ FT,8722,,,,,,,
86,196,Evergreen,11,13,4,1,2,60000,980000,999900,101,1,4,3,1/3/2019,Attached,Yes,0,,Colonial,40 X 211 X 165 X 154,8440,,,,,,,
87,197,LAKEWOOD,11,12,4,1,2,60000,742000,779000,102,1,4,2,1/4/2019,Attached,Yes,0,,Other,"15,647 SQ.FT.",15647,,,,,,,
88,198,Grove,11,7,1,0,1,60000,382500,399000,106,0,3,1,1/5/2019,Attached,No,0,,Ranch,154X58X154X59,8932,,,,,,,
89,199,Thornberry,11,7,2,0,2,60000,357500,375000,110,0,4,2,1/6/2019,Detached,No,0,,Other,67X140,9380,,,,,,,
90,200,Winnetka,11,10,3,1,2,60000,565000,594900,111,0,4,2,1/7/2019,Attached,No,0,,Colonial,78 X 130,10140,,,,,,,
91,201,Eastwood,11,14,4,1,2,60000,1496138,1599000,114,0,5,3,1/8/2019,Attached,No,6702,,Other,60100,60100,,,,,,,
92,202,Hunter,11,14,5,0,2,60000,1060000,1125000,121,0,5,2,1/9/2019,Attached,Yes,0,,Colonial,66X160,10560,,,,,,,
93,203,GREENWOOD,11,7,2,1,1.5,60000,365000,385000,121,0,3,2,1/10/2019,Attached,No,0,,Other,77X130,10010,,,,,,,
94,204,Fir,11,8,3,0,1.5,60000,575000,585000,123,0,4,1,1/11/2019,Attached,Yes,3250,,Other,6000,6000,,,,,,,
95,205,HENLEY,11,7,1,1,2,60000,325000,345000,124,0,2,1,1/12/2019,Detached,Yes,0,,English,50 X 185,9250,,,,,,,
96,206,Brandess,11,10,2,2,2,60000,620000,629000,124,0,4,2,1/13/2019,Attached,Yes,0,,Colonial,79 X 180,14220,,,,,,,
97,207,Glenwood,11,7,2,0,1,60000,310000,329000,129,0,2,1.5,1/14/2019,Detached,No,0,,Other,75X138,10350,,,,,,,
98,208,HEATHERFIELD,11,7,3,1,1.5,60000,476000,499000,131,0,3,2,1/15/2019,Detached,No,2774,,Tri-Level,66 X 134,8844,,,,,,,
99,209,Monterey,11,13,6,2,3,60000,2360000,2450000,136,0,6,3,1/16/2019,Attached,Yes,8151,3966,Traditional,120X160,19200,,,,,,,
100,210,Glenview,11,13,3,1,2,60000,769000,769000,137,1,4,2,1/17/2019,Detached,Yes,0,,Other,50 X 178,8900,,,,,,,
101,211,Swainwood,11,10,3,1,1,60000,1200000,1249000,139,0,4,2,1/18/2019,Attached,No,0,,Prairie,162X115X152X113,18630,,,,,,,
102,212,Independence,11,10,3,1,2,60000,1050000,1150000,142,0,5,2,1/19/2019,Attached,No,0,,Other,75 X 136 X 75 X 136,10200,,,,,,,
103,213,Neva,11,8,2,0,1,60000,382000,399900,143,1,3,2,1/20/2019,Detached,Yes,1100,1100,Other,40 X 136,5440,,,,,,,
104,214,Robin,11,9,2,2,2,60000,535000,564900,148,0,4,2,1/21/2019,Attached,Yes,0,,Other,86 X 124 X 100 X 103,10664,,,,,,,
105,215,Kennicott,11,8,3,0,1,60000,528000,599000,149,0,3,2,1/22/2019,Attached,No,0,,Ranch,303 X 497 X 220 X 241,150591,,,,,,,
106,216,Beaver,11,9,3,0,2,60000,600000,600000,150,0,4,2,1/23/2019,Detached,No,0,,Cape Cod,70 X 133,9310,,,,,,,
107,217,Ronald,11,7,2,0,1.5,60000,347900,339900,158,0,3,1,1/24/2019,Detached,Yes,0,,Other,71 X 44,3124,,,,,,,
108,218,Golfview,11,11,4,2,3,60000,1290000,1375000,162,0,6,2,1/25/2019,Attached,Yes,0,,Tudor,161X92,14812,,,,,,,
109,219,Maclean,11,11,2,0,2,60000,421000,450000,165,0,4,2.5,1/26/2019,Detached,No,0,,Other,51X161X50X162,8211,,,,,,,
110,220,Elizabeth,11,8,3,0,2,60000,592500,625000,166,0,4,2,1/27/2019,Attached,No,0,,Bi-Level,72X129X71X135,9288,,,,,,,
111,221,Thistle,11,14,4,1,2,60000,900000,949000,170,1,4,2,1/28/2019,Attached,Yes,0,,Colonial,65X152X73X148,9880,,,,,,,
112,222,Crown,11,10,3,0,1,60000,429000,449000,171,0,3,2,1/29/2019,Attached,Yes,0,,Ranch,11653,11653,,,,,,,
113,223,Ronald,11,8,2,0,1,60000,342000,355000,172,1,3,2,1/30/2019,Detached,Yes,0,,Ranch,72' X 141',10152,,,,,,,
114,224,Overlook,11,10,3,0,2,60000,745000,779000,187,0,5,2,1/31/2019,Attached,No,2884,761,Cape Cod,237 X 94,22278,,,,,,,
115,225,Malik,11,9,3,0,2,60000,525000,535000,191,0,4,3,2/1/2019,Detached,Yes,0,,Colonial,64 X 144 X 125 X 104,9216,,,,,,,
116,226,ECHO,11,7,1,1,1,60000,360000,377000,205,0,3,2,2/2/2019,Attached,No,0,,Ranch,70 X 137,9590,,,,,,,
117,227,Maple Leaf,11,7,2,0,1.5,60000,392500,429000,206,0,3,2,2/3/2019,Attached,No,0,,Other,75X145X79X145,10875,,,,,,,
118,228,Independence,11,14,4,1,2,60000,1019000,1049000,216,0,4,3,2/4/2019,Attached,Yes,0,,Other,77 X 136 X 79 X 137,10472,,,,,,,
119,229,HIGHLAND,11,8,2,0,1,60000,360000,369900,216,1,3,2,2/5/2019,Detached,Yes,0,,Ranch,66 X 155 X 64 X 152,10230,,,,,,,
120,230,Glenview,11,11,2,1,2,60000,540000,565000,243,1,3,3,2/6/2019,Detached,Yes,0,,Other,75X197X75X196,14775,,,,,,,
121,231,Elmdale,11,9,2,1,2,60000,565000,589000,248,0,5,2,2/7/2019,Attached,No,0,,Colonial,88X134X88X138,11792,,,,,,,
122,232,Rolling Pass,11,12,4,1,2,60000,975000,1000000,258,1,4,2,2/8/2019,Attached,Yes,2818,1365,Other,56 X 130,7280,,,,,,,
123,233,Park,11,12,3,1,2,60000,770000,824900,264,1,4,2,2/9/2019,Detached,No,0,,Colonial,68 X 151,10268,,,,,,,
124,234,Winchester,11,10,3,1,2,60000,685000,725000,264,0,5,4,2/10/2019,Attached,No,0,,Other,83X137,11371,,,,,,,
125,235,Westleigh,11,11,3,1,2,60000,680000,724900,266,1,3,2,2/11/2019,Attached,Yes,0,,Colonial,101 X 58,5858,,,,,,,
126,236,Rogers,11,9,2,0,1.5,60000,316000,319900,296,0,4,2.5,2/12/2019,Attached,No,0,,Bi-Level,150X115,17250,,,,,,,
127,237,James,11,9,2,0,1,60000,365000,375000,307,0,4,2,2/13/2019,Detached,No,0,,Ranch,65X117,7605,,,,,,,
128,238,CENTRAL,11,11,3,1,2,60000,400000,409000,344,1,5,2,2/14/2019,Detached,Yes,0,,Other,61X163,9943,,,,,,,
129,239,Indian,11,10,2,1,1.5,60000,600000,669000,369,0,3,2,2/15/2019,Attached,No,3107,1356,Cape Cod,60 X 133,7980,,,,,,,
130,240,Kittyhawk,11,11,3,1,2,60000,975375,1059000,429,0,4,3,2/16/2019,Attached,No,0,,Colonial,90X125,11250,,,,,,,
131,241,Crescent,11,13,4,1,2,60000,953000,999000,434,1,4,2,2/17/2019,Attached,Yes,5373,,Colonial,230X102X230X100,23460,,,,,,,
132,242,Hawthorne,11,14,5,0,2,60000,1490000,1529000,550,1,4,2,2/18/2019,Attached,Yes,4162,,Colonial,77 X 136,10472,,,,,,,
133,353,Hastings,22,8,2,1,1,60000,542500,575000,1,0,4,2,2/19/2019,Attached,No,0,,Ranch,159 X 82,13038,,,,,,,
134,354,Sumac,22,7,1,0,1,60000,257650,257000,1,0,3,2,2/20/2019,Detached,No,0,1120,Other,2X141X91X155,282,,,,,,,
135,355,Onwentsia,22,3,2,0,2,60000,300000,299000,1,0,3,0,2/21/2019,None,No,0,654,Colonial,50X183,9150,,,,,,,
136,356,Clifton,22,8,2,1,2,60000,473000,479000,2,0,3,1,2/22/2019,Attached,No,0,,Colonial,50X187X50X190,9350,,,,,,,
137,357,Cottonwood,22,8,2,1,2,60000,332000,374999,2,0,4,2,2/23/2019,Attached,No,0,,Colonial,58X58,3364,,,,,,,
138,358,Friar Tuck,22,10,4,1,2,60000,680000,698900,3,1,4,2,2/24/2019,Attached,Yes,0,,Colonial,78X157,12246,,,,,,,
139,359,Freesia,22,7,2,1,1,60000,852000,850000,3,0,2,2,2/25/2019,Attached,No,0,,Other,83X78X72X119,6474,,,,,,,
140,360,Greenwood,22,7,3,0,1,60000,296400,284900,3,0,3,2,2/26/2019,Attached,Yes,0,,Ranch,80 X158,12640,,,,,,,
141,361,Skokie,22,11,3,1,2,60000,453000,475000,4,1,3,2,2/27/2019,Detached,Yes,0,,Other,115X103X143X52,11845,,,,,,,
142,362,Oak,22,10,3,1,2,60000,635000,650000,6,0,4,2,2/28/2019,Attached,No,0,1473,Tudor,142 X 81 X 141 X 82,11502,,,,,,,
