MLS #,Stat,Closed Date,Sold Pr,Type,Yr Blt,Street #,Str Name,Area,Zip,ASF,# Rms,# Full Baths,# Half Baths,Bsmt Bth,Beds,Bsmt. Beds,Garage Type,# Garage Spaces,# Parking Spaces,,
10059434,CLSD,10/10/2018,187000,Condo,1990,4757,Howard,76,60076,0,5,2,0,No,2,0,Attached,1,0,,
09644372,CLSD,7/17/2017,188000,Condo,1966,4949,Golf,76,60077,0,6,2,0,No,3,0,Attached,1,0,,
09580545,CLSD,2/15/2018,189000,Condo,1975,8161,Niles Center,76,60077,0,6,2,0,No,3,0,Attached,2,0,,
09851598,CLSD,3/16/2018,190000,Mid Rise (4-6 Stories),1998,7400,LINCOLN,76,60076,0,4,2,0,No,2,0,Attached,1,0,,
10079058,CLSD,11/5/2018,195000,Condo,2001,5040,Warren,76,60077,0,5,1,0,,1,0,Attached,1,0,,
09561288,CLSD,5/31/2017,200000,"Condo, Mid Rise (4-6 Stories)",UNK,8225,Niles Center,76,60077,0,5,2,0,No,2,0,Attached,1,0,,
09651079,CLSD,8/16/2017,200000,Condo,1976,9801,Gross Point,76,60077,0,6,2,0,No,2,0,Attached,2,0,,
10125119,CLSD,12/10/2018,205000,Condo,1977,4901,Golf,76,60077,0,5,2,0,No,2,0,Attached,34,0,,
09615832,CLSD,6/26/2017,210000,Condo,2006,9360,SKOKIE,76,60077,0,4,1,1,No,1,0,Attached,1,0,,
09635937,CLSD,7/7/2017,210000,Condo,1990,4757,Howard,76,60076,0,6,2,0,No,2,0,Attached,1,0,,
09860898,CLSD,5/30/2018,210000,Condo,1976,9801,Gross Point,76,60077,0,6,2,0,No,3,0,Attached,2,0,,
09802889,CLSD,2/8/2018,218000,"Condo, Mid Rise (4-6 Stories)",1998,7400,Lincoln,76,60076,0,5,2,0,No,2,0,Attached,1,0,,
09966455,CLSD,8/15/2018,219000,Condo,2003,5055,Madison,76,60077,0,5,1,0,,2,0,Attached,1,0,,
09493985,CLSD,4/28/2017,225000,Condo,2006,9715,Woods,76,60077,0,4,1,1,,1,0,Attached,1,0,,
09787548,CLSD,1/17/2018,225000,Condo,2008,9725,Woods,76,60077,0,4,1,1,No,1,0,Attached,1,0,,
09940014,CLSD,7/3/2018,230000,Condo,1979,7601,Lincoln,76,60077,0,5,2,0,No,2,0,Attached,2,0,,
10031592,CLSD,9/18/2018,235000,Condo,2006,9350,SKOKIE,76,60076,0,4,1,1,No,1,0,Attached,1,0,,
09858367,CLSD,4/30/2018,249000,Condo,1989,4747,Howard,76,60076,0,7,2,0,No,2,0,Attached,1,0,,
09828948,CLSD,3/9/2018,250000,Townhouse-2 Story,1981,7558,Crawford,76,60076,0,7,2,1,No,3,0,Attached,2,0,,
09522353,CLSD,7/14/2017,257500,Mid Rise (4-6 Stories),2005,5155,Madison,76,60077,0,5,2,0,No,2,0,Attached,1,0,,
09645109,CLSD,8/22/2017,258000,"Townhouse-2 Story, Townhouse 3+ Stories",1995,8009,LINCOLN,76,60077,0,6,2,1,No,2,0,Attached,1,0,,
10016852,CLSD,8/29/2018,260000,Condo,1978,9558,Gross Point,76,60076,0,5,2,0,No,2,0,Attached,2,0,,
09524894,CLSD,4/24/2017,263000,"Condo, Mid Rise (4-6 Stories)",2005,5155,Madison,76,60077,0,5,2,0,No,2,0,Attached,2,0,,
09912433,CLSD,7/2/2018,272000,Condo,2005,5105,MADISON,76,60077,0,5,2,0,No,2,0,Attached,1,0,,
09732984,CLSD,4/4/2018,275000,Condo,2003,5055,Madison,76,60077,0,5,2,0,No,2,0,Attached,2,0,,
09614457,CLSD,5/23/2017,320000,Condo,2006,9360,SKOKIE,76,60077,0,7,2,0,No,3,0,Attached,1,0,,
09742487,CLSD,10/25/2017,340000,"Condo, Mid Rise (4-6 Stories)",2007,9360,SKOKIE,76,60077,0,6,2,0,No,3,0,Attached,2,0,,
10029110,CLSD,9/28/2018,345000,Townhouse 3+ Stories,1991,7012,Lorel,76,60077,0,7,2,1,No,3,0,Attached,2,0,,
09808341,CLSD,12/26/2017,365000,Townhouse 3+ Stories,2008,8038,Floral,76,60077,0,6,2,1,No,3,0,Attached,2,0,,
10014721,CLSD,10/26/2018,375000,"Condo, Penthouse",2007,5105,MADISON,76,60077,0,5,2,0,,2,0,Attached,2,0,,
09383913,CLSD,6/19/2017,383500,Condo,2006,9360,Skokie,76,60077,0,6,2,0,,3,0,Attached,2,0,,
10049311,CLSD,1/15/2019,350000,1 Story,1955,4219,Keeney,76,60076,0,10,1,1,No,3,0,"Attached, Detached",4,0,,
09853362,CLSD,4/5/2018,356000,2 Stories,1938,9829,Karlov,76,60076,0,8,2,1,Yes,3,0,"Attached, Detached",3,0,,
09483518,CLSD,3/30/2017,462000,2 Stories,UNK,7906,Lowell,76,60076,0,10,2,1,No,4,0,"Attached, Detached",3,0,,
09744795,CLSD,12/28/2017,355000,Split Level,1957,8825,Monticello,76,60076,0,7,2,0,Yes,3,0,Detached,2,2,,
09831904,CLSD,4/10/2018,400000,Split Level w/ Sub,1966,8825,Crawford,76,60076,0,10,2,0,No,4,0,Detached,2,6,,
09851554,CLSD,7/11/2018,411000,1 Story,1960,8844,Prairie,76,60076,0,8,2,1,Yes,3,1,Detached,2,6,,
09384280,CLSD,12/22/2017,145000,1 Story,1917,4960,WARREN,76,60077,0,6,1,0,Yes,2,0,Detached,2,0,,
09210490,CLSD,3/29/2017,196000,2 Stories,1944,3818,Hull,76,60076,0,6,1,0,No,2,0,Detached,2,0,,
09817131,CLSD,4/4/2018,220000,2 Stories,1956,5137,Birchwood,76,60077,0,8,2,0,No,4,0,Detached,2,0,,
09735870,CLSD,10/31/2017,240000,2 Stories,1950,8951,Laramie,76,60077,0,6,1,1,Yes,2,0,Detached,2,0,,
09967174,CLSD,9/20/2018,255000,Raised Ranch,1954,7845,Crawford,76,60076,0,8,2,0,Yes,3,1,Detached,2,0,,
10130751,CLSD,12/5/2018,260000,1 Story,1956,8207,HAMLIN,76,60076,0,8,2,0,Yes,2,0,Detached,2,0,,
09619601,CLSD,7/7/2017,265000,Raised Ranch,1958,7820,Crawford,76,60076,0,8,2,0,No,3,0,Detached,2,0,,
09796985,CLSD,4/30/2018,268000,1 Story,UNK,5452,Brummel,76,60077,0,8,2,0,Yes,3,0,Detached,2,0,,
09371955,CLSD,7/3/2017,270000,2 Stories,1952,8640,Prairie,76,60076,0,8,2,1,No,5,0,Detached,1,0,,
09640280,CLSD,6/28/2017,275000,Split Level,1965,8606,Crawford,76,60076,0,7,1,1,Yes,3,0,Detached,2,0,,
09708061,CLSD,2/23/2018,275000,Split Level,1955,5200,Madison,76,60077,0,7,2,0,No,3,0,Detached,2,0,,
09473258,CLSD,3/23/2017,278000,1 Story,1951,8132,Keystone,76,60076,0,8,2,0,Yes,2,1,Detached,2,0,,
09667435,CLSD,8/18/2017,280000,2 Stories,UNK,8437,Keystone,76,60076,0,8,1,1,No,4,0,Detached,2,0,,
09645999,CLSD,6/26/2017,280100,1 Story,1955,8320,Keystone,76,60076,0,6,1,0,Yes,3,0,Detached,2,0,,
09597938,CLSD,6/7/2017,290000,1.5 Story,1956,3914,Harvard,76,60076,0,7,1,0,Yes,4,0,Detached,1,0,,
09608710,CLSD,6/21/2017,290000,1 Story,1958,5021,MAIN,76,60076,0,8,2,0,Yes,3,1,Detached,2,0,,
09913614,CLSD,6/12/2018,291200,1 Story,1952,4940,Jarvis,76,60077,0,7,1,0,No,3,0,Detached,2,0,,
