ID,StreetNum,StrName,Area,Rooms,FullBath,HalfBath,Floors,Zip,SoldPrice,ListPrice,MT,BedRoomsBsmt,BedRooms,GarageSpaces,ClosedDate,GarageType,BsmtBath,AbvGrdSF,BsmntSF,Style,LotDims,LotSize
1088,1858,Euclid Park,77,15,3,2,3,6000,1450000,1799000,285,0,6,2,3/11/2019,Attached,Yes,0,,Tudor,100 X 183,18300
1089,1859,Lee,77,6,1,1,1.5,6000,229900,229900,281,0,3,0,3/12/2019,None,No,0,,Tri-Level,44 X 125,5500
1090,1860,Edgemere,77,15,5,2,3,6000,1800000,2295000,204,0,6,4,3/13/2019,Detached,Yes,0,,Tudor,140 X 183,25620
1091,1861,Sheridan,77,10,4,1,2,6000,2230000,2350000,128,0,4,1,3/14/2019,Attached,No,0,,Other,9600 SQ. FT.,9600
1092,1862,Forestview,77,13,3,2,2,6000,1300000,1390000,98,0,5,2.5,3/15/2019,Detached,Yes,0,,Other,62.5 X 150.1,9381.25
1093,1863,Milburn,77,11,3,1,3,6000,770000,779000,120,0,6,3,3/16/2019,Detached,No,3016,1104,Traditional,50X188,9400
1094,1864,Hartrey,77,6,2,0,1,6000,255000,265000,163,0,3,2,3/17/2019,Detached,No,0,,Ranch,30 X 170,5100
1095,1905,Morse,81,10,4,2,1.5,6000,520000,575000,338,0,4,2,3/18/2019,Attached,Yes,4310,,Quad Level,95X132,12540
1096,1906,Crawford,81,7,2,0,1.5,6000,245001,249900,150,0,3,2,3/19/2019,Detached,Yes,0,,Other,50X118,5900
1097,1907,Keeler,81,9,2,0,3,6000,290000,325000,123,0,5,2,3/20/2019,Detached,No,0,,Cape Cod,65 X 123,7995
1098,1908,Lunt,81,7,2,0,1.5,6000,380000,389000,144,0,3,2,3/21/2019,Detached,Yes,0,,Other,45X125,5625
